지점,지점명,일시,SPI6
101,춘천,2016-11-19,-.146
101,춘천,2016-11-20,-.238
101,춘천,2016-11-21,-.222
101,춘천,2016-11-22,-.215
101,춘천,2016-11-23,-.212
101,춘천,2016-11-24,-.205
101,춘천,2016-11-25,-.206
101,춘천,2016-11-26,-.203
101,춘천,2016-11-27,-.203
101,춘천,2016-11-28,-.198
101,춘천,2016-11-29,-.183
101,춘천,2016-11-30,-.174
101,춘천,2016-12-01,-.171
101,춘천,2016-12-02,-.16
101,춘천,2016-12-03,-.157
101,춘천,2016-12-04,-.157
101,춘천,2016-12-05,-.148
101,춘천,2016-12-06,-.141
101,춘천,2016-12-07,-.125
101,춘천,2016-12-08,-.156
101,춘천,2016-12-09,-.144
101,춘천,2016-12-10,-.144
101,춘천,2016-12-11,-.139
101,춘천,2016-12-12,-.182
101,춘천,2016-12-13,-.172
101,춘천,2016-12-14,-.154
101,춘천,2016-12-15,-.13
101,춘천,2016-12-16,-.122
101,춘천,2016-12-17,-.099
101,춘천,2016-12-18,-.091
101,춘천,2016-12-19,-.28
101,춘천,2016-12-20,-.283
101,춘천,2016-12-21,-.216
101,춘천,2016-12-22,-.02
101,춘천,2016-12-23,.022
101,춘천,2016-12-24,.042
101,춘천,2016-12-25,.049
101,춘천,2016-12-26,.078
101,춘천,2016-12-27,.126
101,춘천,2016-12-28,-.233
101,춘천,2016-12-29,-.19
101,춘천,2016-12-30,-.151
101,춘천,2016-12-31,-.304
101,춘천,2017-01-01,-1.383
101,춘천,2017-01-02,-1.383
101,춘천,2017-01-03,-1.381
101,춘천,2017-01-04,-1.287
101,춘천,2017-01-05,-1.209
101,춘천,2017-01-06,-1.199
101,춘천,2017-01-07,-1.175
101,춘천,2017-01-08,-1.127
101,춘천,2017-01-09,-1.021
101,춘천,2017-01-10,-.935
101,춘천,2017-01-11,-.844
101,춘천,2017-01-12,-1.09
101,춘천,2017-01-13,-1.054
101,춘천,2017-01-14,-1.032
101,춘천,2017-01-15,-1.009
101,춘천,2017-01-16,-.979
101,춘천,2017-01-17,-.963
101,춘천,2017-01-18,-.904
101,춘천,2017-01-19,-1.223
101,춘천,2017-01-20,-1.576
101,춘천,2017-01-21,-1.55
101,춘천,2017-01-22,-1.475
101,춘천,2017-01-23,-1.325
101,춘천,2017-01-24,-1.277
101,춘천,2017-01-25,-1.269
